"IPA","i?k","?","ai","a?","au","am","?m","m?","??","??","u","ua","ue","uai","uan","?","(i)?"
"Pe?h-?e-j?","ek","i?","ai","ai?","au","am","om","m","ong","ng","u","oa","oe","oai","oan","i","(i)u?"
"RevisedTLPA","ik","iN","ai","aiN","au","am","om","m","ong","ng","u","ua","ue","uai","uan","ir","(i)uN"
"TLPA","ik","inn","ai","ainn","au","am","om","m","ong","ng","u","ua","ue","uai","uan","ir","(i)unn"
"BP","ik","ni","ai","nai","au","am","om","m","ong","ng","u","ua","ue","uai","uan","i","n(i)u"
"MLT","eg/ek","vi","ai","vai","au","am","om","m","ong","ng","u","oa","oe","oai","oan","i","v(i)u"
"DT","ik","inn/i?","ai","ainn/ai?","au","am","om","m","ong","ng","u","ua","ue","uai","uan","i","(i)unn/u?"
"Taiwanesekana","???","??","??","??","??","??","??","?","??","?","??","??","??","???","???","??","??"
"Extendedbopomofo","??","?","?","?","?","?","?","?","?","?","?","??","??","??","??","?","?"
"Tâi-lô","ik","inn","ai","ainn","au","am","om","m","ong","ng","u","ua","ue","uai","uan","ir","(i)unn"
"Example(traditionalChinese)","??","??","??","","??","??","","??","??","??","??","??","??","??","??","??","??"
"Example(simplifiedChinese)","??","??","??","","??","??","","??","??","??","??","??","??","??","??","??","??"
